Country;;
Liechtenstein;$139,100;139,100
Monaco;$115,700;115,700
Luxembourg;$110,300;110,300
Singapore;$93,400;93,400
Ireland;$89,700;89,700
Qatar;$85,300;85,300
Isle of Man;$84,600;84,600
Bermuda;$81,800;81,800
Cayman Islands;$73,600;73,600
Falkland Islands (Islas Malvinas);$70,800;70,800
Switzerland;$68,400;68,400
United Arab Emirates;$67,100;67,100
Norway;$63,600;63,600
Brunei;$62,200;62,200
Gibraltar;$61,700;61,700
San Marino;$60,800;60,800
United States;$60,200;60,200
Jersey;$56,600;56,600
Hong Kong;$56,200;56,200
Denmark;$55,900;55,900
Macau;$54,800;54,800
Netherlands;$54,200;54,200
Guernsey;$52,500;52,500
Iceland;$52,300;52,300
Austria;$51,900;51,900
Germany;$50,900;50,900
Sweden;$50,700;50,700
Andorra;$49,900;49,900
Kuwait;$49,900;49,900
Australia;$48,700;48,700
Belgium;$48,200;48,200
Finland;$47,300;47,300
Saint Pierre and Miquelon;$46,200;46,200
Canada;$45,900;45,900
Saudi Arabia;$44,300;44,300
New Zealand;$42,400;42,400
Korea, South;$42,300;42,300
France;$42,000;42,000
Greenland;$41,800;41,800
United Kingdom;$41,600;41,600
Japan;$41,400;41,400
Bahrain;$40,900;40,900
Faroe Islands;$40,000;40,000
Malta;$39,200;39,200
Italy;$39,000;39,000
Czechia;$38,300;38,300
Israel;$38,300;38,300
Cyprus;$37,700;37,700
Aruba;$37,500;37,500
Virgin Islands;$37,000;37,000
Lithuania;$36,700;36,700
Slovenia;$36,500;36,500
Spain;$36,200;36,200
Estonia;$35,600;35,600
Guam;$35,600;35,600
Sint Maarten;$35,300;35,300
British Virgin Islands;$34,200;34,200
Montserrat;$34,000;34,000
Puerto Rico;$33,400;33,400
Poland;$32,200;32,200
Portugal;$32,200;32,200
New Caledonia;$31,100;31,100
Hungary;$31,000;31,000
Bahamas, The;$30,800;30,800
Slovakia;$30,300;30,300
Latvia;$29,900;29,900
Romania;$28,800;28,800
Turkey (Turkiye);$28,400;28,400
Greece;$27,300;27,300
Oman;$27,300;27,300
Croatia;$26,500;26,500
Russia;$26,500;26,500
Malaysia;$26,400;26,400
Panama;$25,400;25,400
Kazakhstan;$25,300;25,300
Taiwan;$24,502;24,502
Curacao;$24,500;24,500
Northern Mariana Islands;$24,500;24,500
Seychelles;$24,400;24,400
Trinidad and Tobago;$23,700;23,700
Chile;$23,300;23,300
Saint Kitts and Nevis;$23,300;23,300
Bulgaria;$22,400;22,400
Uruguay;$21,600;21,600
Turks and Caicos Islands;$21,100;21,100
Argentina;$19,700;19,700
Costa Rica;$19,700;19,700
Mauritius;$19,500;19,500
Saint Martin;$19,300;19,300
Belarus;$19,100;19,100
Guyana;$18,700;18,700
Montenegro;$18,300;18,300
Serbia;$18,200;18,200
Antigua and Barbuda;$18,000;18,000
Mexico;$17,900;17,900
Palau;$17,600;17,600
Thailand;$17,300;17,300
Dominican Republic;$17,000;17,000
Equatorial Guinea;$17,000;17,000
French Polynesia;$17,000;17,000
Cook Islands;$16,700;16,700
China;$16,400;16,400
Suriname;$16,100;16,100
Botswana;$16,000;16,000
North Macedonia;$15,800;15,800
Turkmenistan;$15,500;15,500
Grenada;$15,100;15,100
Gabon;$14,400;14,400
Bosnia and Herzegovina;$14,300;14,300
Brazil;$14,100;14,100
Georgia;$14,100;14,100
Azerbaijan;$13,700;13,700
Nauru;$13,500;13,500
Colombia;$13,400;13,400
Albania;$13,300;13,300
Maldives;$13,000;13,000
Barbados;$12,900;12,900
Armenia;$12,600;12,600
Sri Lanka;$12,500;12,500
Iran;$12,400;12,400
Ukraine;$12,400;12,400
Cuba;$12,300;12,300
Moldova;$12,300;12,300
Paraguay;$12,300;12,300
Saint Lucia;$12,300;12,300
Anguilla;$12,200;12,200
Saint Vincent and the Grenadines;$12,100;12,100
Egypt;$12,000;12,000
Lebanon;$11,600;11,600
Mongolia;$11,500;11,500
South Africa;$11,500;11,500
Indonesia;$11,400;11,400
Peru;$11,300;11,300
American Samoa;$11,200;11,200
Fiji;$11,000;11,000
Bhutan;$10,900;10,900
Kosovo;$10,800;10,800
Algeria;$10,700;10,700
Ecuador;$10,300;10,300
Libya;$10,300;10,300
Dominica;$9,900;9,900
Jordan;$9,800;9,800
Tunisia;$9,700;9,700
Iraq;$9,300;9,300
Namibia;$8,900;8,900
Jamaica;$8,700;8,700
Eswatini;$8,400;8,400
Guatemala;$8,400;8,400
Vietnam;$8,200;8,200
El Salvador;$8,100;8,100
Philippines;$8,000;8,000
Bolivia;$7,900;7,900
Laos;$7,800;7,800
Saint Helena, Ascension, and Tristan da Cunha;$7,800;7,800
Venezuela;$7,704;7,704
Uzbekistan;$7,000;7,000
Morocco;$6,900;6,900
Tonga;$6,400;6,400
Samoa;$6,300;6,300
Gaza Strip;$6,220;6,220
Angola;$6,200;6,200
Belize;$6,100;6,100
India;$6,100;6,100
Tokelau;$6,004;6,004
Cabo Verde;$6,000;6,000
Niue;$5,800;5,800
Djibouti;$5,500;5,500
West Bank;$5,400;5,400
Ghana;$5,300;5,300
Nicaragua;$5,300;5,300
Cote d'Ivoire;$5,200;5,200
Honduras;$5,100;5,100
Mauritania;$5,000;5,000
Nigeria;$4,900;4,900
Bangladesh;$4,800;4,800
Kyrgyzstan;$4,700;4,700
Pakistan;$4,600;4,600
Burma;$4,500;4,500
Tuvalu;$4,400;4,400
Cambodia;$4,200;4,200
Kenya;$4,200;4,200
Papua New Guinea;$4,100;4,100
Sao Tome and Principe;$4,100;4,100
Marshall Islands;$4,000;4,000
Sudan;$4,000;4,000
Nepal;$3,800;3,800
Wallis and Futuna;$3,800;3,800
Tajikistan;$3,700;3,700
Cameroon;$3,600;3,600
Micronesia, Federated States of;$3,500;3,500
Congo, Republic of the;$3,400;3,400
Benin;$3,300;3,300
Senegal;$3,300;3,300
Zambia;$3,300;3,300
Timor-Leste;$3,200;3,200
Comoros;$3,100;3,100
Syria;$2,900;2,900
Haiti;$2,800;2,800
Vanuatu;$2,800;2,800
Guinea;$2,700;2,700
Zimbabwe;$2,700;2,700
Tanzania;$2,600;2,600
Solomon Islands;$2,500;2,500
Yemen;$2,500;2,500
Ethiopia;$2,300;2,300
Kiribati;$2,300;2,300
Lesotho;$2,300;2,300
Burkina Faso;$2,200;2,200
Gambia, The;$2,200;2,200
Mali;$2,200;2,200
Uganda;$2,200;2,200
Rwanda;$2,100;2,100
Togo;$2,100;2,100
Afghanistan;$2,000;2,000
Guinea-Bissau;$1,800;1,800
Korea, North;$1,700;1,700
Eritrea;$1,600;1,600
Sierra Leone;$1,600;1,600
South Sudan;$1,600;1,600
Chad;$1,500;1,500
Madagascar;$1,500;1,500
Malawi;$1,500;1,500
Liberia;$1,400;1,400
Mozambique;$1,200;1,200
Niger;$1,200;1,200
Congo, Democratic Republic of the;$1,100;1,100
Central African Republic;$900;900
Somalia;$800;800
Burundi;$700;700
